umm_field,iso_field
ScienceKeywords/Topic,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString  ( The second value - delimited by &gt; )
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""theme"""
ScienceKeywords/VariableLevel1,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString  ( The fourth value - delimited by &gt; )
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""theme"""
ScienceKeywords/VariableLevel2,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString  ( The fifth value - delimited by &gt; )
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""theme"""
ScienceKeywords/VariableLevel3,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString  ( The sixth value - delimited by &gt; )
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/mri:type/mri:MD_KeywordTypeCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_KeywordTypeCode codeListValue=""theme"""
ShortName,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:identifier/mcc:MD_Identifier/[=>
[=> mcc:code/gco:CharacterString
[=> mcc:codeSpace/gco:CharacterString= gov.nasa.esdis.umm.shortname
[=> mcc:description/gco:CharacterString=Short Name"
SpatialExtent,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent[@id='boundingExtent'] [=>
Create a new gmd:extent - do not share with TilingInformationSystem"
SpatialExtent/GranuleSpatialRepresentation,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent[@id='boundingExtent']/gex:description/gco:CharacterString SpatialGranuleSpatialRepresentation=
SpatialExtent/HorizontaSpatialDomain/Geometry/BoundingRectangles/EastBoundingCoordinate,[=>/gex:geographicElement/gex:EX_GeographicBoundingBox/gex:eastBoundLongitude/gco:Decimal
SpatialExtent/HorizontaSpatialDomain/Geometry/BoundingRectangles/NorthBoundingCoordinate,[=>/gex:geographicElement/gex:EX_GeographicBoundingBox/gex:northBoundLongitude/gco:Decimal
SpatialExtent/HorizontaSpatialDomain/Geometry/BoundingRectangles/SouthBoundingCoordinate,[=>/gex:geographicElement/gex:EX_GeographicBoundingBox/gex:southBoundLongitude/gco:Decimal
SpatialExtent/HorizontaSpatialDomain/Geometry/BoundingRectangles/WestBoundingCoordinate,[=>/gex:geographicElement/gex:EX_GeographicBoundingBox/gex:westBoundLongitude/gco:Decimal
SpatialExtent/HorizontaSpatialDomain/ZoneIdentifier,"[=>/gex:geographicElement/gex:EX_GeographicDescription/gex:geographicIdentifier/mcc:MD_Identifier/mcc:code/gco:CharacterString
with
[=>/gex:geographicElement/gex:EX_GeographicDescription/gex:geographicIdentifier/mcc:MD_Identifier/mcc:description/gco:CharacterString = ZoneIdentifier"
SpatialExtent/SpatialCoverageType,[=>/gex:description/gco:CharacterString SpatialCoverageType=
SpatialExtent/VerticalSpatialDomain,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent[@id='boundingExtent']/gex:description/gco:CharacterString
with format:
VerticalSpatialDomainType= {type}, VerticalSpatialDomainValue= {value}"
SpatialExtent/VerticalSpatialDomain/Type,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent[@id='boundingExtent']/gex:description/gco:CharacterString
with format:
VerticalSpatialDomainType= {type}, VerticalSpatialDomainValue= {value}"
SpatialExtent/VerticalSpatialDomain/Unit,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent[@id='boundingExtent']/gex:description/gco:CharacterString
with format:
VerticalSpatialDomainType= {type}, VerticalSpatialDomainValue= {value}"
SpatialExtent/VerticalSpatialDomain/Value,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent[@id='boundingExtent']/gex:description/gco:CharacterString
with format:
VerticalSpatialDomainType= {type}, VerticalSpatialDomainValue= {value}"
TemporalExtents,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent
TemporalExtents/EndsAtPresentFlag,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent/gex:temporalElement/gex:EX_TemporalExtent/gex:extent/gml:TimePeriod/gml:endPosition indeterminatePosition=""now"""
TemporalExtents/PrecisionOfSeconds,"/mdb:MD_Metadata/mdb:dataQualityInfo/mdq:DQ_DataQuality/mdq:report/mdq:DQ_AccuracyOfATimeMeasurement/mdq:measure/mdq:DQ_MeasureReference/mdq:measureIdentification/mcc:MD_Identifier/mcc:code/gco:CharacterString =  PrecisionOfSeconds
and
/mdb:MD_Metadata/mdb:dataQualityInfo/mdq:DQ_DataQuality/mdq:report/mdq:DQ_AccuracyOfATimeMeasurement/mdq:result/mdq:DQ_QuantitativeResult/mdq:value/gco:Record xsi:type=""gco:Real_PropertyType""/gco:Real   PrecisionOfSeconds Value"
TemporalExtents/RangeDateTime/BeginningDateTime,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent/gex:temporalElement/gex:EX_TemporalExtent/gex:extent/gml:TimePeriod/gml:beginPosition
TemporalExtents/RangeDateTime/EndingDateTime,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent/gex:temporalElement/gex:EX_TemporalExtent/gex:extent/gml:TimePeriod/gml:endPosition
TemporalExtents/SingleDateTimes,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent/gex:temporalElement/gex:EX_TemporalExtent/gex:extent/ gml:TimeInstant/gml:timePosition
TemporalExtents/TemporalRangeType,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:extent/gex:EX_Extent/gex:description/gco:CharacterString DateType=
TemporalKeywords,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:keyword/gco:CharacterString
with
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:descriptiveKeywords/mri:MD_Keywords/mri:type/mri:MD_KeywordTypeCode[@codeListValue=""temporal""]"
UseConstraints,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:resourceConstraints/mco:MD_LegalConstraints/mco:useLimitation/gco:CharacterString
UseConstraints/Description,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:resourceConstraints/mco:MD_LegalConstraints/mco:useLimitation/gco:CharacterString
UseConstraints/LicenseText,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:resourceConstraints/mco:MD_LegalConstraints/mco:useConstraints/mco:MD_RestrictionCode codeList ""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_RestrictionCode"" codeListValue ""otherRestrictions"" =  ""otherRestrictions""
/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:resourceConstraints/mco:MD_LegalConstraints/mco:otherConstraints/gco:mcoCharacterString = ""LicenseText:"""
UseConstraints/LicenseUrl,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:resourceConstraints/mco:MD_LegalConstraints/mco:useConstraints/mco:MD_RestrictionCode codeList ""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_RestrictionCode"" codeListValue ""otherRestrictions"" =  ""otherRestrictions"""
UseConstraints/LicenseUrl/Linkage,"/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:resourceConstraints/mco:MD_LegalConstraints/mco:otherConstraints/gco:mcoCharacterString = ""LicenseUrl:"""
Version,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:edition/gco:CharacterString
VersionDescription,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:citation/cit:CI_Citation/cit:otherCitationDetails/gco:CharacterString
